id,hotel_name,data
VILLAGE_210,VILLAGE,"{""id"":""210"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Rosa"",""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Philco"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":210,""temCortina"":true,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Arandela"",""banheiroStatus"":"""",""cabideQuantity"":4,""luminariaColor"":"""",""moveisDetalhes"":[],""cortinaCoverage"":""Um lado"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""""}"
VILLAGE_211,VILLAGE,"{""id"":""211"",""beds"":[{""type"":""Casal"",""hasSkirt"":true,""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":true,""baseColor"":""Cinza"",""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressColor"":""Cinza"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Philco"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":""Bom estado"",""roomNumber"":211,""temCortina"":false,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":"""",""luminariaType"":""Quadrado"",""banheiroStatus"":"""",""cabideQuantity"":3,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":"""",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""Bom estado""}"
VILLAGE_212,VILLAGE,"{""id"":""212"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseStatus"":""Nova"",""mattressColor"":""Bege"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Beje"",""baseStatus"":""Nova"",""mattressColor"":""Bege"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Toshiba"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":212,""temCortina"":true,""cortinaSize"":""Medida correta 2,05"",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Quadrado"",""banheiroStatus"":"""",""cabideQuantity"":3,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""Bom estado""}"
VILLAGE_213,VILLAGE,"{""id"":""213"",""beds"":[{""type"":""Casal"",""hasSkirt"":true,""baseColor"":""Beje"",""baseStatus"":""Antiga"",""skirtColor"":""Verde"",""mattressColor"":""Bege"",""mattressStatus"":""Antigo""},{""type"":""Casal"",""hasSkirt"":true,""baseColor"":""Branca"",""baseStatus"":""Antiga"",""skirtColor"":""Verde"",""mattressColor"":""Bege"",""mattressStatus"":""Antigo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Philco"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":213,""temCortina"":false,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":"""",""luminariaType"":""Arandela"",""banheiroStatus"":"""",""cabideQuantity"":3,""luminariaColor"":"""",""moveisDetalhes"":[],""cortinaCoverage"":"""",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":true,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""Bom estado""}"
VILLAGE_214,VILLAGE,"{""id"":""214"",""beds"":[{""type"":""Casal"",""hasSkirt"":true,""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressColor"":""Bege"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Cinza"",""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressColor"":""Bege"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Toshiba"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":214,""temCortina"":true,""cortinaSize"":""Medida correta 2,22"",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Quadrado"",""banheiroStatus"":"""",""cabideQuantity"":3,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""Bom estado""}"
VILLAGE_215,VILLAGE,"{""id"":""215"",""beds"":[{""type"":""Casal"",""hasSkirt"":true,""baseColor"":""Cinza"",""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressColor"":""Bege"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":true,""baseColor"":""Cinza"",""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressColor"":""Cinza"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Philco"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":215,""temCortina"":true,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Quadrado"",""banheiroStatus"":"""",""cabideQuantity"":3,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""Bom estado""}"
VILLAGE_216,VILLAGE,"{""id"":""216"",""beds"":[{""type"":""Casal"",""hasSkirt"":true,""baseColor"":""Rosa"",""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressColor"":""Cinza"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":true,""baseColor"":""Rosa"",""baseStatus"":""Nova"",""skirtColor"":""Verde"",""mattressColor"":""Rosa"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Toshiba"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":216,""temCortina"":true,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Quadrado"",""banheiroStatus"":"""",""cabideQuantity"":4,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""Bom estado""}"
VILLAGE_217,VILLAGE,"{""id"":""217"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Cinza"",""baseStatus"":""Nova"",""mattressColor"":""Cinza"",""mattressStatus"":""Novo""},{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Cinza"",""baseStatus"":""Nova"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""LG"",""defects"":[],""tvBrand"":""Philco"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":217,""temCortina"":true,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Arandela"",""banheiroStatus"":"""",""cabideQuantity"":4,""luminariaColor"":"""",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":true,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""Bom estado""}"
VILLAGE_218,VILLAGE,"{""id"":""218"",""beds"":[{""type"":""Casal"",""hasSkirt"":false,""baseColor"":""Rosa"",""baseStatus"":""Antiga"",""skirtColor"":""Verde"",""mattressColor"":""Rosa"",""mattressStatus"":""Antigo""},{""type"":""Casal"",""hasSkirt"":true,""baseColor"":""Rosa"",""baseStatus"":""Antiga"",""skirtColor"":""Verde"",""mattressColor"":""Cinza"",""mattressStatus"":""Novo""}],""floor"":200,""acBrand"":""Midea"",""defects"":[],""tvBrand"":""Toshiba"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":218,""temCortina"":true,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Quadrado"",""banheiroStatus"":"""",""cabideQuantity"":2,""luminariaColor"":""Branco"",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":false,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""Bom estado""}"
VILLAGE_219,VILLAGE,"{""id"":""219"",""beds"":[{""type"":""Casal"",""hasSkirt"":true,""baseColor"":""Rosa"",""baseStatus"":""Antiga"",""skirtColor"":""Verde"",""mattressColor"":""Rosa"",""mattressStatus"":""Antigo""},{""type"":""Casal"",""hasSkirt"":true,""baseColor"":""Beje"",""baseStatus"":""Antiga"",""skirtColor"":""Verde"",""mattressColor"":""Bege"",""mattressStatus"":""Antigo""}],""floor"":200,""acBrand"":""Midea"",""defects"":[],""tvBrand"":""Philco"",""pisoType"":""Granito"",""temCofre"":true,""temCabide"":true,""pisoStatus"":"""",""roomNumber"":219,""temCortina"":true,""cortinaSize"":"""",""banheiroType"":""Reformado"",""moveisStatus"":""Bom estado"",""cortinaStatus"":""Nova"",""luminariaType"":""Arandela"",""banheiroStatus"":"""",""cabideQuantity"":4,""luminariaColor"":"""",""moveisDetalhes"":[],""cortinaCoverage"":""Dois lados"",""temEspelhoCorpo"":true,""temSuportePapel"":true,""temPortaControle"":true,""temSuporteShampoo"":true,""espelhoCorpoStatus"":""Bom estado"",""suporteShampooStatus"":""Bom estado""}"
