Apto	Andar	PisoT	PisoS	BanhT	BanhS	Cofre	Cortina	CortinaS	CortinaM	CortinaC	Espelho	EspelhoS	AC	MoveisS	MoveisD	Camas	PortaCont	Cabide	CabideQ	SuportPap	SuportSham	SuportShamS	LuminType	LuminColor	TV	Avarias
404	400	Madeira	Tolerável	Antigo	Tolerável	Sim	Sim	Nova	Bom	Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": false, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Sim	Não		Vidro	Branco	Smart Roku	Avaria fotografada
405	400	Madeira	Tolerável	Antigo	Tolerável	Não	Não				Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Cinza"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Sim	Não		Vidro	Branco	Smart Roku	Avaria fotografada
406	400	Granito	Bom estado	Reformado		Sim	Sim	Nova	Sobrando 	Um lado	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	2	Não	Sim	Bom estado	Vidro		Smart Roku	
407	400	Madeira	Tolerável	Antigo	Reparo urgente	Sim	Sim	Nova	Curta	Um lado	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}]"	Não	Sim	3	Sim	Não		Vidro		Toshiba	Avaria fotografada; Avaria fotografada
408	400	Madeira	Bom estado	Antigo	Reparo urgente	Sim	Sim	Antiga	Bom	Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Beje"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}]"	Não	Sim	3	Sim	Sim	Bom estado	Vidro		Smart Roku	
409	400	Madeira	Tolerável	Antigo	Reparo urgente	Sim	Sim	Nova	Bom	Um lado	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Verde"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}]"	Não	Sim	3	Sim	Não		Quadrado	Branco	Smart Roku	Banheiro; Avaria fotografada
410	400	Granito	Bom estado	Reformado		Sim	Sim	Nova	Boa	Um lado	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	3	Não	Sim	Bom estado	Vidro		Smart Roku	Avaria fotografada
411	400	Granito	Bom estado	Reformado		Sim	Sim	Nova	Boa	Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Rosa"", ""mattressStatus"": ""Antigo""}]"	Sim	Sim	3	Não	Sim	Bom estado	Vidro		Smart Roku	
413	400	Madeira	Tolerável	Antigo	Tolerável	Sim	Sim	Nova	Boa	Um lado	Sim	Bom estado		Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseColor"": ""Rosa"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseColor"": ""Cinza"", ""baseStatus"": ""Antiga"", ""skirtColor"": ""Cinza"", ""mattressColor"": ""Bege"", ""mattressStatus"": ""Antigo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}]"	Não	Sim	3	Sim	Sim	Enferrujado	Vidro			
414	400	Madeira	Bom estado	Reformado		Não	Sim	Antiga		Dois lados	Sim	Bom estado	LG	Bom estado	[]	"[{""type"": ""Casal"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}, {""type"": ""Solteiro"", ""hasSkirt"": true, ""baseStatus"": ""Nova"", ""skirtColor"": ""Cinza"", ""mattressStatus"": ""Novo""}]"	Sim	Sim	3	Não	Não		Vidro		Philco	
